id,date,status,matchday,home_team,away_team,home_team_id,away_team_id,home_score,away_score,winner,season
444401,2023-12-10T14:00:00Z,FINISHED,15,AC Monza,Genoa CFC,5911,107,1,0,HOME_TEAM,2023-2024
444403,2023-12-10T17:00:00Z,FINISHED,15,US Salernitana 1919,Bologna FC 1909,455,103,1,2,AWAY_TEAM,2023-2024
444402,2023-12-10T19:45:00Z,FINISHED,15,AS Roma,ACF Fiorentina,100,99,1,1,DRAW,2023-2024
444396,2023-12-11T17:30:00Z,FINISHED,15,Empoli FC,US Lecce,445,5890,1,1,DRAW,2023-2024
444395,2023-12-11T19:45:00Z,FINISHED,15,Cagliari Calcio,US Sassuolo Calcio,104,471,2,1,HOME_TEAM,2023-2024
444407,2023-12-15T19:45:00Z,FINISHED,16,Genoa CFC,Juventus FC,107,109,1,1,DRAW,2023-2024
444409,2023-12-16T14:00:00Z,FINISHED,16,US Lecce,Frosinone Calcio,5890,470,2,1,HOME_TEAM,2023-2024
444411,2023-12-16T17:30:00Z,FINISHED,16,SSC Napoli,Cagliari Calcio,113,104,2,1,HOME_TEAM,2023-2024
444412,2023-12-16T19:45:00Z,FINISHED,16,Torino FC,Empoli FC,586,445,1,0,HOME_TEAM,2023-2024
444410,2023-12-17T11:30:00Z,FINISHED,16,AC Milan,AC Monza,98,5911,3,0,HOME_TEAM,2023-2024
444406,2023-12-17T14:00:00Z,FINISHED,16,ACF Fiorentina,Hellas Verona FC,99,450,1,0,HOME_TEAM,2023-2024
444413,2023-12-17T14:00:00Z,FINISHED,16,Udinese Calcio,US Sassuolo Calcio,115,471,2,2,DRAW,2023-2024
444405,2023-12-17T17:00:00Z,FINISHED,16,Bologna FC 1909,AS Roma,103,100,2,0,HOME_TEAM,2023-2024
444408,2023-12-17T19:45:00Z,FINISHED,16,SS Lazio,FC Internazionale Milano,110,108,0,2,AWAY_TEAM,2023-2024
444404,2023-12-18T19:45:00Z,FINISHED,16,Atalanta BC,US Salernitana 1919,102,455,4,1,HOME_TEAM,2023-2024
444422,2023-12-22T17:30:00Z,FINISHED,17,US Sassuolo Calcio,Genoa CFC,471,107,1,2,AWAY_TEAM,2023-2024
444415,2023-12-22T17:30:00Z,FINISHED,17,Empoli FC,SS Lazio,445,110,0,2,AWAY_TEAM,2023-2024
444419,2023-12-22T19:45:00Z,FINISHED,17,AC Monza,ACF Fiorentina,5911,99,0,1,AWAY_TEAM,2023-2024
444421,2023-12-22T19:45:00Z,FINISHED,17,US Salernitana 1919,AC Milan,455,98,2,2,DRAW,2023-2024
444416,2023-12-23T11:30:00Z,FINISHED,17,Frosinone Calcio,Juventus FC,470,109,1,2,AWAY_TEAM,2023-2024
444423,2023-12-23T14:00:00Z,FINISHED,17,Torino FC,Udinese Calcio,586,115,1,1,DRAW,2023-2024
444414,2023-12-23T14:00:00Z,FINISHED,17,Bologna FC 1909,Atalanta BC,103,102,1,0,HOME_TEAM,2023-2024
444417,2023-12-23T17:00:00Z,FINISHED,17,Hellas Verona FC,Cagliari Calcio,450,104,2,0,HOME_TEAM,2023-2024
444418,2023-12-23T17:00:00Z,FINISHED,17,FC Internazionale Milano,US Lecce,108,5890,2,0,HOME_TEAM,2023-2024
444420,2023-12-23T19:45:00Z,FINISHED,17,AS Roma,SSC Napoli,100,113,2,0,HOME_TEAM,2023-2024
444426,2023-12-29T17:30:00Z,FINISHED,18,ACF Fiorentina,Torino FC,99,586,1,0,HOME_TEAM,2023-2024
444432,2023-12-29T17:30:00Z,FINISHED,18,SSC Napoli,AC Monza,113,5911,0,0,DRAW,2023-2024
444427,2023-12-29T19:45:00Z,FINISHED,18,Genoa CFC,FC Internazionale Milano,107,108,1,1,DRAW,2023-2024
444430,2023-12-29T19:45:00Z,FINISHED,18,SS Lazio,Frosinone Calcio,110,470,3,1,HOME_TEAM,2023-2024
444424,2023-12-30T11:30:00Z,FINISHED,18,Atalanta BC,US Lecce,102,5890,1,0,HOME_TEAM,2023-2024
444425,2023-12-30T14:00:00Z,FINISHED,18,Cagliari Calcio,Empoli FC,104,445,0,0,DRAW,2023-2024
444433,2023-12-30T14:00:00Z,FINISHED,18,Udinese Calcio,Bologna FC 1909,115,103,3,0,HOME_TEAM,2023-2024
444428,2023-12-30T17:00:00Z,FINISHED,18,Hellas Verona FC,US Salernitana 1919,450,455,0,1,AWAY_TEAM,2023-2024
444431,2023-12-30T17:00:00Z,FINISHED,18,AC Milan,US Sassuolo Calcio,98,471,1,0,HOME_TEAM,2023-2024
444429,2023-12-30T19:45:00Z,FINISHED,18,Juventus FC,AS Roma,109,100,1,0,HOME_TEAM,2023-2024
444434,2024-01-05T19:45:00Z,FINISHED,19,Bologna FC 1909,Genoa CFC,103,107,1,1,DRAW,2023-2024
444437,2024-01-06T11:30:00Z,FINISHED,19,FC Internazionale Milano,Hellas Verona FC,108,450,2,1,HOME_TEAM,2023-2024
444436,2024-01-06T14:00:00Z,FINISHED,19,Frosinone Calcio,AC Monza,470,5911,2,3,AWAY_TEAM,2023-2024
444438,2024-01-06T17:00:00Z,FINISHED,19,US Lecce,Cagliari Calcio,5890,104,1,1,DRAW,2023-2024
444441,2024-01-06T19:45:00Z,FINISHED,19,US Sassuolo Calcio,ACF Fiorentina,471,99,1,0,HOME_TEAM,2023-2024
444435,2024-01-07T11:30:00Z,FINISHED,19,Empoli FC,AC Milan,445,98,0,3,AWAY_TEAM,2023-2024
444442,2024-01-07T14:00:00Z,FINISHED,19,Torino FC,SSC Napoli,586,113,3,0,HOME_TEAM,2023-2024
444443,2024-01-07T14:00:00Z,FINISHED,19,Udinese Calcio,SS Lazio,115,110,1,2,AWAY_TEAM,2023-2024
444440,2024-01-07T17:00:00Z,FINISHED,19,US Salernitana 1919,Juventus FC,455,109,1,2,AWAY_TEAM,2023-2024
444439,2024-01-07T19:45:00Z,FINISHED,19,AS Roma,Atalanta BC,100,102,1,1,DRAW,2023-2024
444447,2024-01-13T14:00:00Z,FINISHED,20,Genoa CFC,Torino FC,107,586,0,0,DRAW,2023-2024
444453,2024-01-13T14:00:00Z,FINISHED,20,SSC Napoli,US Salernitana 1919,113,455,2,1,HOME_TEAM,2023-2024
444448,2024-01-13T17:00:00Z,FINISHED,20,Hellas Verona FC,Empoli FC,450,445,2,1,HOME_TEAM,2023-2024
444452,2024-01-13T19:45:00Z,FINISHED,20,AC Monza,FC Internazionale Milano,5911,108,1,5,AWAY_TEAM,2023-2024
444450,2024-01-14T11:30:00Z,FINISHED,20,SS Lazio,US Lecce,110,5890,1,0,HOME_TEAM,2023-2024
444445,2024-01-14T14:00:00Z,FINISHED,20,Cagliari Calcio,Bologna FC 1909,104,103,2,1,HOME_TEAM,2023-2024
444446,2024-01-14T17:00:00Z,FINISHED,20,ACF Fiorentina,Udinese Calcio,99,115,2,2,DRAW,2023-2024
444451,2024-01-14T19:45:00Z,FINISHED,20,AC Milan,AS Roma,98,100,3,1,HOME_TEAM,2023-2024
444444,2024-01-15T19:45:00Z,FINISHED,20,Atalanta BC,Frosinone Calcio,102,470,5,0,HOME_TEAM,2023-2024
444449,2024-01-16T19:45:00Z,FINISHED,20,Juventus FC,US Sassuolo Calcio,109,471,3,0,HOME_TEAM,2023-2024
444459,2024-01-20T17:00:00Z,FINISHED,21,AS Roma,Hellas Verona FC,100,450,2,1,HOME_TEAM,2023-2024
444463,2024-01-20T19:45:00Z,FINISHED,21,Udinese Calcio,AC Milan,115,98,2,3,AWAY_TEAM,2023-2024
444456,2024-01-21T11:30:00Z,FINISHED,21,Frosinone Calcio,Cagliari Calcio,470,104,3,1,HOME_TEAM,2023-2024
444455,2024-01-21T14:00:00Z,FINISHED,21,Empoli FC,AC Monza,445,5911,3,0,HOME_TEAM,2023-2024
444460,2024-01-21T17:00:00Z,FINISHED,21,US Salernitana 1919,Genoa CFC,455,107,1,2,AWAY_TEAM,2023-2024
444458,2024-01-21T19:45:00Z,FINISHED,21,US Lecce,Juventus FC,5890,109,0,3,AWAY_TEAM,2023-2024
444465,2024-01-26T19:45:00Z,FINISHED,22,Cagliari Calcio,Torino FC,104,586,1,2,AWAY_TEAM,2023-2024
444464,2024-01-27T14:00:00Z,FINISHED,22,Atalanta BC,Udinese Calcio,102,115,2,0,HOME_TEAM,2023-2024
444469,2024-01-27T17:00:00Z,FINISHED,22,Juventus FC,Empoli FC,109,445,1,1,DRAW,2023-2024
444471,2024-01-27T19:45:00Z,FINISHED,22,AC Milan,Bologna FC 1909,98,103,2,2,DRAW,2023-2024
444467,2024-01-28T11:30:00Z,FINISHED,22,Genoa CFC,US Lecce,107,5890,2,1,HOME_TEAM,2023-2024
444468,2024-01-28T14:00:00Z,FINISHED,22,Hellas Verona FC,Frosinone Calcio,450,470,1,1,DRAW,2023-2024
