match_id,date,home_team,away_team,season,home_form_wins,home_form_points,home_form_goals_for,home_form_goals_against,home_form_matches,away_form_wins,away_form_points,away_form_goals_for,away_form_goals_against,away_form_matches,home_win_rate_at_home,home_avg_goals_at_home,home_matches_at_home,away_win_rate_away,away_avg_goals_away,away_matches_away,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,h2h_matches,home_score,away_score,winner
444358,2023-11-06 17:30:00+00:00,Frosinone Calcio,Empoli FC,2023-2024,1,4,7,10,5,2,7,3,6,5,0.6,2.0,5,0.25,0.5,4,0,0,0,0.0,0,2,1,HOME_TEAM
444363,2023-11-06 19:45:00+00:00,Torino FC,US Sassuolo Calcio,2023-2024,1,4,1,7,5,1,5,4,6,5,0.2,0.4,5,0.25,1.25,4,0,0,0,0.0,0,2,1,HOME_TEAM
444372,2023-11-10 17:30:00+00:00,US Sassuolo Calcio,US Salernitana 1919,2023-2024,0,2,3,7,5,0,1,2,12,5,0.3333333333333333,1.3333333333333333,6,0.0,0.4,5,0,0,0,0.0,0,2,2,DRAW
444365,2023-11-10 19:45:00+00:00,Genoa CFC,Hellas Verona FC,2023-2024,1,4,4,7,5,0,1,3,9,5,0.4,1.6,5,0.16666666666666666,0.5,6,0,0,0,0.0,0,1,0,HOME_TEAM
444369,2023-11-11 14:00:00+00:00,US Lecce,AC Milan,2023-2024,0,2,3,9,5,2,7,5,4,5,0.5,1.0,6,0.6666666666666666,1.8333333333333333,6,0,0,0,0.0,0,2,2,DRAW
444367,2023-11-11 17:00:00+00:00,Juventus FC,Cagliari Calcio,2023-2024,4,13,5,0,5,2,7,9,13,5,0.8,1.6,5,0.0,0.6,5,0,0,0,0.0,0,2,1,HOME_TEAM
444370,2023-11-11 19:45:00+00:00,AC Monza,Torino FC,2023-2024,3,10,8,3,5,2,7,3,6,5,0.4,1.4,5,0.4,1.0,5,0,0,0,0.0,0,1,1,DRAW
444371,2023-11-12 11:30:00+00:00,SSC Napoli,Empoli FC,2023-2024,3,10,12,6,5,1,4,3,8,5,0.4,2.0,5,0.2,0.6,5,0,0,0,0.0,0,0,1,AWAY_TEAM
444373,2023-11-12 14:00:00+00:00,Udinese Calcio,Atalanta BC,2023-2024,1,7,5,4,5,2,7,8,5,5,0.0,0.6,5,0.5,1.8333333333333333,6,0,0,0,0.0,0,1,1,DRAW
444364,2023-11-12 14:00:00+00:00,ACF Fiorentina,Bologna FC 1909,2023-2024,2,6,6,5,5,3,11,9,4,5,0.4,1.6,5,0.0,0.8,5,0,0,0,0.0,0,2,1,HOME_TEAM
444368,2023-11-12 17:00:00+00:00,SS Lazio,AS Roma,2023-2024,3,9,6,5,5,4,12,9,3,5,0.6,1.4,5,0.2,1.4,5,0,0,0,0.0,0,0,0,DRAW
444366,2023-11-12 19:45:00+00:00,FC Internazionale Milano,Frosinone Calcio,2023-2024,4,13,12,3,5,2,6,8,10,5,0.6666666666666666,2.5,6,0.0,1.0,5,0,0,0,0.0,0,2,0,HOME_TEAM
444383,2023-11-25 14:00:00+00:00,US Salernitana 1919,SS Lazio,2023-2024,0,2,4,10,5,3,10,6,3,5,0.0,0.6666666666666666,6,0.3333333333333333,1.0,6,0,0,0,0.0,0,2,1,HOME_TEAM
444374,2023-11-25 17:00:00+00:00,Atalanta BC,SSC Napoli,2023-2024,2,7,9,6,5,2,7,8,7,5,0.6,1.6,5,0.6666666666666666,2.3333333333333335,6,0,0,0,0.0,0,1,2,AWAY_TEAM
444381,2023-11-25 19:45:00+00:00,AC Milan,ACF Fiorentina,2023-2024,1,5,5,6,5,2,6,5,6,5,0.6,1.4,5,0.5,1.6666666666666667,6,0,0,0,0.0,0,1,0,HOME_TEAM
444376,2023-11-26 11:30:00+00:00,Cagliari Calcio,AC Monza,2023-2024,2,7,10,12,5,2,8,8,4,5,0.3333333333333333,1.3333333333333333,6,0.3333333333333333,0.8333333333333334,6,0,0,0,0.0,0,1,1,DRAW
444377,2023-11-26 14:00:00+00:00,Empoli FC,US Sassuolo Calcio,2023-2024,2,7,4,5,5,0,3,5,8,5,0.16666666666666666,0.16666666666666666,6,0.2,1.2,5,0,0,0,0.0,0,3,4,AWAY_TEAM
444378,2023-11-26 14:00:00+00:00,Frosinone Calcio,Genoa CFC,2023-2024,2,6,8,10,5,2,6,3,5,5,0.6666666666666666,2.0,6,0.16666666666666666,0.6666666666666666,6,0,0,0,0.0,0,2,1,HOME_TEAM
444382,2023-11-26 17:00:00+00:00,AS Roma,Udinese Calcio,2023-2024,3,10,7,3,5,1,7,4,3,5,0.6666666666666666,2.5,6,0.16666666666666666,0.6666666666666666,6,0,0,0,0.0,0,3,1,HOME_TEAM
444380,2023-11-26 19:45:00+00:00,Juventus FC,FC Internazionale Milano,2023-2024,5,15,7,1,5,4,13,10,3,5,0.8333333333333334,1.6666666666666667,6,1.0,2.4,5,0,0,0,0.0,0,1,1,DRAW
444379,2023-11-27 17:30:00+00:00,Hellas Verona FC,US Lecce,2023-2024,0,0,3,10,5,0,3,5,7,5,0.2,0.8,5,0.0,1.0,5,0,0,0,0.0,0,2,2,DRAW
444375,2023-11-27 19:45:00+00:00,Bologna FC 1909,Torino FC,2023-2024,2,8,7,6,5,2,7,4,7,5,0.6666666666666666,1.3333333333333333,6,0.3333333333333333,1.0,6,0,0,0,0.0,0,2,0,HOME_TEAM
444389,2023-12-01 19:45:00+00:00,AC Monza,Juventus FC,2023-2024,1,6,6,5,5,4,13,6,2,5,0.3333333333333333,1.3333333333333333,6,0.6666666666666666,1.5,6,0,0,0,0.0,0,1,2,AWAY_TEAM
444385,2023-12-02 14:00:00+00:00,Genoa CFC,Empoli FC,2023-2024,2,6,4,6,5,2,6,7,9,5,0.5,1.5,6,0.3333333333333333,0.6666666666666666,6,0,0,0,0.0,0,1,1,DRAW
444386,2023-12-02 17:00:00+00:00,SS Lazio,Cagliari Calcio,2023-2024,2,7,4,3,5,2,8,10,9,5,0.5,1.1666666666666667,6,0.0,0.6666666666666666,6,0,0,0,0.0,0,1,0,HOME_TEAM
